critic,fresh,imdb,publication,quote,review_date,rtid,title
Gene Siskel,fresh,0106673,Chicago Tribune,"Dave has been directed by Ivan Reitman in a refreshingly restrained fashion -- there are plenty of quiet passages, rare for American movies these days -- which compliments Kevin Kline's wonderful work as well.",2013-08-02,10250,Dave
Dave Kehr,fresh,0106673,Chicago Tribune,"It's a beautifully proportioned, wonderfully complete movie.",2013-08-02,10250,Dave
Owen Gleiberman,fresh,0106673,Entertainment Weekly,"For all its modest charm, Dave is a true throwback to the Capra days, a political comedy just cockeyed enough to triumph over cynicism.",2011-09-07,10250,Dave
Jonathan Rosenbaum,fresh,0106673,Chicago Reader,"An overall mood of sweetness may help one to forgive the archaic and childish aspects of the would-be analysis, which splits everyone between angels and devils.",2009-02-02,10250,Dave
Stephen Garrett,fresh,0106673,Time Out,A buoyant comedy in the Capra tradition.,2006-01-26,10250,Dave
Janet Maslin,fresh,0106673,New York Times,"In spite of this sogginess, and despite a self-congratulatory, do-gooder streak that the film discovers within Dave, this comedy remains bright and buoyant much of the way through.",2003-05-20,10250,Dave
Peter Travers,fresh,0106673,Rolling Stone,[Mixes] comedy and corn with surprising savvy.,2001-05-12,10250,Dave
Brian Lowry,fresh,0106673,Variety,"A delightful, buoyant new take on an old theme.",2001-02-13,10250,Dave
James Berardinelli,fresh,0106673,ReelViews,"A highly-enjoyable, fresh, and energetic motion picture that even the most hard-bitten cynic will be hard-pressed to condemn.",2000-01-01,10250,Dave
Rita Kempley,fresh,0106673,Washington Post,Offers feel-good guffaws.,2000-01-01,10250,Dave
Desson Thomson,fresh,0106673,Washington Post,"Will hit the warm, gushy spot for a lot of people.",2000-01-01,10250,Dave
Roger Ebert,fresh,0106673,Chicago Sun-Times,Wonderful lighthearted entertainment.,2000-01-01,10250,Dave
Richard Corliss,fresh,0106332,TIME Magazine,"The scenes in the Peking Opera School, where boys are caned for doing wrong or right, are no less horrifying than the later tableaus of public humiliation at the hands of the Maoists.",2008-08-12,13016,Ba wang bie ji
Jonathan Rosenbaum,fresh,0106332,Chicago Reader,This is entertaining filmmaking on a grand scale.,2008-08-12,13016,Ba wang bie ji
Derek Elley,rotten,0106332,Variety,Seductively lensed but emotionally uninvolving.,2008-05-21,13016,Ba wang bie ji
David Ansen,fresh,0106332,Newsweek,Chen's remarkable movie uses an unusual love triangle to telescope more than 50 years of tumultuous Chinese history.,2008-04-07,13016,Ba wang bie ji
Geoff Andrew,fresh,0106332,Time Out,"Appropriately operatic, Chen's visually spectacular epic is sumptuous in every respect. Intelligent, enthralling, rhapsodic.",2006-01-26,13016,Ba wang bie ji
Vincent Canby,fresh,0106332,New York Times,One of those very rare film spectacles that deliver just about everything the ads are likely to promise.,2003-05-20,13016,Ba wang bie ji
Roger Ebert,fresh,0106332,Chicago Sun-Times,The film flows with such urgency that all its connections seem logical. And it is filmed with such visual splendor that possible objections are swept aside.,2000-01-01,13016,Ba wang bie ji
Desson Thomson,rotten,0106332,Washington Post,"Like Cheung's ethereally plaintive voice, the movie is a siren song that's appealing at first, but held too long. It becomes an increasing whine.",2000-01-01,13016,Ba wang bie ji
Hal Hinson,fresh,0106332,Washington Post,"The director carries us through this early history with impressive sensitivity; he has a beautiful, graceful touch, both with the camera and with his actors.",2000-01-01,13016,Ba wang bie ji
James Berardinelli,fresh,0106332,ReelViews,A motion picture experience that few will soon forget after leaving the theater.,2000-01-01,13016,Ba wang bie ji
,fresh,0106332,Entertainment Weekly,,1993-01-01,13016,Ba wang bie ji
,none,0109783,Newsday,,2008-10-18,15272,The Favor
Walter V. Addiego,none,0109783,San Francisco Chronicle,,2008-10-18,15272,The Favor
,none,0109783,Village Voice,,2008-04-30,15272,The Favor
Leonard Klady,none,0109783,Variety,,2006-06-24,15272,The Favor
Janet Maslin,none,0109783,New York Times,,2004-08-30,15272,The Favor
Joe Brown,none,0109783,Washington Post,,2000-01-01,15272,The Favor
Desson Thomson,none,0109783,Washington Post,,2000-01-01,15272,The Favor
James Berardinelli,rotten,0109783,ReelViews,,2000-01-01,15272,The Favor
Roger Ebert,rotten,0109783,Chicago Sun-Times,,2000-01-01,15272,The Favor
,rotten,0109783,Entertainment Weekly,,1994-04-29,15272,The Favor
Owen Gleiberman,fresh,0106965,Entertainment Weekly,,2011-09-07,11960,Free Willy
Leonard Klady,none,0106965,Variety,,2008-06-23,11960,Free Willy
,none,0106965,Time Out,,2006-01-26,11960,Free Willy
Vincent Canby,none,0106965,New York Times,,2003-05-20,11960,Free Willy
James Berardinelli,rotten,0106965,ReelViews,,2000-01-01,11960,Free Willy
Roger Ebert,fresh,0106965,Chicago Sun-Times,,2000-01-01,11960,Free Willy
Hal Hinson,none,0106965,Washington Post,,2000-01-01,11960,Free Willy
Desson Thomson,none,0106965,Washington Post,,2000-01-01,11960,Free Willy
,fresh,0106965,Entertainment Weekly,,1993-07-16,11960,Free Willy
,none,0109842,Variety,,2012-02-23,13814,Fresh
Owen Gleiberman,fresh,0109842,Entertainment Weekly,,2011-09-07,13814,Fresh
,fresh,0109842,Entertainment Weekly,,2011-01-01,13814,Fresh
G. Allen Johnson,fresh,0109842,San Francisco Chronicle,,2010-10-01,13814,Fresh
,none,0109842,Time Out,,2006-01-26,13814,Fresh
Janet Maslin,none,0109842,New York Times,,2003-05-20,13814,Fresh
,none,0109842,Globe and Mail,,2002-04-12,13814,Fresh
Peter Travers,none,0109842,Rolling Stone,,2001-05-12,13814,Fresh
Roger Ebert,fresh,0109842,Chicago Sun-Times,,2000-01-01,13814,Fresh
Hal Hinson,none,0109842,Washington Post,,2000-01-01,13814,Fresh
Desson Thomson,none,0109842,Washington Post,,2000-01-01,13814,Fresh
James Berardinelli,fresh,0109842,ReelViews,,2000-01-01,13814,Fresh
Lisa Schwarzbaum,rotten,0109920,Entertainment Weekly,,2011-09-07,770672571,A Good Man in Africa
Leonard Klady,none,0109920,Variety,,2009-03-26,770672571,A Good Man in Africa
Derek Adams,none,0109920,Time Out,,2006-02-09,770672571,A Good Man in Africa
Janet Maslin,none,0109920,New York Times,,2003-05-20,770672571,A Good Man in Africa
Peter Travers,none,0109920,Rolling Stone,,2001-05-12,770672571,A Good Man in Africa
Hal Hinson,none,0109920,Washington Post,,2000-01-01,770672571,A Good Man in Africa
James Berardinelli,rotten,0109920,ReelViews,,2000-01-01,770672571,A Good Man in Africa
Joe Brown,none,0109920,Washington Post,,2000-01-01,770672571,A Good Man in Africa
Mick LaSalle,none,0109920,San Francisco Chronicle,,2000-01-01,770672571,A Good Man in Africa
Roger Ebert,rotten,0109920,Chicago Sun-Times,,2000-01-01,770672571,A Good Man in Africa
Owen Gleiberman,fresh,0107057,Entertainment Weekly,,2011-09-07,14921,Guilty as Sin
Lawrence Cohn,none,0107057,Variety,,2009-03-26,14921,Guilty as Sin
Derek Adams,none,0107057,Time Out,,2006-06-24,14921,Guilty as Sin
Janet Maslin,none,0107057,New York Times,,2003-05-20,14921,Guilty as Sin
Roger Ebert,fresh,0107057,Chicago Sun-Times,,2000-01-01,14921,Guilty as Sin
Desson Thomson,none,0107057,Washington Post,,2000-01-01,14921,Guilty as Sin
Rita Kempley,none,0107057,Washington Post,,2000-01-01,14921,Guilty as Sin
James Berardinelli,rotten,0107057,ReelViews,,2000-01-01,14921,Guilty as Sin
,fresh,0107057,Entertainment Weekly,,1993-06-04,14921,Guilty as Sin
Owen Gleiberman,fresh,0110097,Entertainment Weekly,,2011-09-07,12349,I'll Do Anything
Brian Lowry,none,0110097,Variety,,2009-03-26,12349,I'll Do Anything
Janet Maslin,none,0110097,New York Times,,2003-05-20,12349,I'll Do Anything
,none,0110097,Globe and Mail,,2002-04-12,12349,I'll Do Anything
Desson Thomson,none,0110097,Washington Post,,2000-01-01,12349,I'll Do Anything
Roger Ebert,fresh,0110097,Chicago Sun-Times,,2000-01-01,12349,I'll Do Anything
Rita Kempley,none,0110097,Washington Post,,2000-01-01,12349,I'll Do Anything
James Berardinelli,fresh,0110097,ReelViews,,2000-01-01,12349,I'll Do Anything
,fresh,0110097,Entertainment Weekly,,1994-02-04,12349,I'll Do Anything
Kevin Thomas,fresh,0110123,Los Angeles Times,"If Shore's comic genius eludes you or if you find the film something less than a constant laugh riot, you may still be willing to agree that it's amiable enough and not begrudge in the least the likelihood that Shore fans will be pleased.",2013-05-22,10745,In the Army Now
Carrie Rickey,fresh,0110123,Philadelphia Inquirer,"Is In the Army Now funny? Yes, Drill Sergeant, Sir! Is it stupid? Yes, sir! Does it kill brain cells? Yes, sirree!",2013-05-22,10745,In the Army Now
Jeff Shannon,rotten,0110123,Seattle Times,"Being an appealing, shallow goof-off can wear thin, and Shore seems incapable of carrying a movie, even when it's a 90-minute knock-off like this.",2013-05-22,10745,In the Army Now
Michael Wilmington,rotten,0110123,Chicago Tribune,The movie's best performance is given by a camel.,2013-05-22,10745,In the Army Now
Owen Gleiberman,rotten,0110123,Entertainment Weekly,[An] abysmal knockoff of Stripes.,2011-09-07,10745,In the Army Now
Janet Maslin,rotten,0110123,New York Times,"Putting Mr. Shore under the authority of a pretty female drill sergeant (Lynn Whitfield) is, along with that bad haircut, one of this film's only ways of getting laughs.",2003-05-20,10745,In the Army Now
Desson Thomson,rotten,0110123,Washington Post,"Every promising situation -- Shore suffering through basic training, dealing with real battle and so on -- suffers immediate creative fatigue.",2000-01-01,10745,In the Army Now
Rita Kempley,rotten,0110123,Washington Post,"It's a tale as old as the jokes, which were already old when the Peloponnesians went to war.",2000-01-01,10745,In the Army Now
Roger Ebert,rotten,0110123,Chicago Sun-Times,"The screenplay, work by five writers, based on a story by three others, seems to have been rewritten often enough that any individuality has been lost.",2000-01-01,10745,In the Army Now
Owen Gleiberman,rotten,0107302,Entertainment Weekly,,2011-09-07,16615,Kalifornia
Leonard Klady,none,0107302,Variety,,2009-03-26,16615,Kalifornia
Geoff Andrew,none,0107302,Time Out,,2006-06-24,16615,Kalifornia
Janet Maslin,none,0107302,New York Times,,2003-05-20,16615,Kalifornia
Peter Travers,none,0107302,Rolling Stone,,2001-05-12,16615,Kalifornia
Richard Harrington,none,0107302,Washington Post,,2000-01-01,16615,Kalifornia
James Berardinelli,rotten,0107302,ReelViews,,2000-01-01,16615,Kalifornia
Roger Ebert,fresh,0107302,Chicago Sun-Times,,2000-01-01,16615,Kalifornia
Joe Brown,none,0107302,Washington Post,,2000-01-01,16615,Kalifornia
Owen Gleiberman,rotten,0110265,Entertainment Weekly,,2011-09-07,16732,Killing Zoe
,rotten,0110265,Entertainment Weekly,,2011-01-01,16732,Killing Zoe
Leonard Klady,none,0110265,Variety,,2009-03-26,16732,Killing Zoe
Geoff Andrew,none,0110265,Time Out,,2006-06-24,16732,Killing Zoe
Janet Maslin,none,0110265,New York Times,,2003-05-20,16732,Killing Zoe
,none,0110265,Globe and Mail,,2002-04-12,16732,Killing Zoe
Roger Ebert,rotten,0110265,Chicago Sun-Times,,2000-01-01,16732,Killing Zoe
James Berardinelli,rotten,0110265,ReelViews,,2000-01-01,16732,Killing Zoe
Hal Hinson,none,0110265,Washington Post,,2000-01-01,16732,Killing Zoe
Joe Brown,none,0110265,Washington Post,,2000-01-01,16732,Killing Zoe
Mick LaSalle,none,0110265,San Francisco Chronicle,,2000-01-01,16732,Killing Zoe
Owen Gleiberman,rotten,0107497,Entertainment Weekly,,2011-09-07,16623,Malice
Derek Adams,none,0107497,Time Out,,2006-02-09,16623,Malice
Vincent Canby,none,0107497,New York Times,,2003-05-20,16623,Malice
Peter Travers,none,0107497,Rolling Stone,,2001-05-12,16623,Malice
Roger Ebert,rotten,0107497,Chicago Sun-Times,,2000-01-01,16623,Malice
James Berardinelli,rotten,0107497,ReelViews,,2000-01-01,16623,Malice
,rotten,0107497,Entertainment Weekly,,1993-10-01,16623,Malice
Owen Gleiberman,fresh,0107501,Entertainment Weekly,,2011-09-07,11327,The Man Without a Face
Brian Lowry,none,0107501,Variety,,2009-03-26,11327,The Man Without a Face
Derek Adams,none,0107501,Time Out,,2006-02-09,11327,The Man Without a Face
Janet Maslin,none,0107501,New York Times,,2003-05-20,11327,The Man Without a Face
Peter Travers,none,0107501,Rolling Stone,,2001-05-12,11327,The Man Without a Face
Richard Harrington,none,0107501,Washington Post,,2000-01-01,11327,The Man Without a Face
James Berardinelli,rotten,0107501,ReelViews,,2000-01-01,11327,The Man Without a Face
Joe Brown,none,0107501,Washington Post,,2000-01-01,11327,The Man Without a Face
Roger Ebert,fresh,0107501,Chicago Sun-Times,,2000-01-01,11327,The Man Without a Face
,fresh,0107501,Entertainment Weekly,,1993-08-25,11327,The Man Without a Face
Owen Gleiberman,rotten,0107613,Entertainment Weekly,,2011-09-07,11883,Mr. Wonderful
,rotten,0107613,Entertainment Weekly,,2008-12-01,11883,Mr. Wonderful
Brian Lowry,fresh,0107613,Variety,Short on laughs but tinged with a pleasant European flavor.,2008-03-18,11883,Mr. Wonderful
Derek Adams,fresh,0107613,Time Out,Writer/director Minghella's second feature brings ambivalence and a touch of realpolitik to the stuff of candyfloss romance.,2006-06-24,11883,Mr. Wonderful
Peter Travers,fresh,0107613,Rolling Stone,"Without that yeoman cast effort and Dillon's easy charm, Mr. Wonderful could easily be mistaken for Mr. Potatohead.",2001-05-12,11883,Mr. Wonderful
Roger Ebert,rotten,0107613,Chicago Sun-Times,"One of those films where it's clear to the audience within five minutes what must obviously happen, and clear to the characters only at the end of the story.",2000-01-01,11883,Mr. Wonderful
James Berardinelli,fresh,0107613,ReelViews,"Mr. Wonderful doesn't aspire to be anything more than it is, and such a simple, uncomplicated presentation, coupled with likable characters, makes this film a fine example of light, romantic entertainment.",2000-01-01,11883,Mr. Wonderful
,none,0107614,Variety,,2012-02-23,10997,Mrs. Doubtfire
Owen Gleiberman,fresh,0107614,Entertainment Weekly,,2011-09-07,10997,Mrs. Doubtfire
Brian Lowry,fresh,0107614,Variety,"Although overly sappy in places and probably 20 minutes too long, this Robin Williams-in-drag vehicle provides the comic a slick surface for doing his shtick, within a story possessing broad family appeal.",2008-07-22,10997,Mrs. Doubtfire
David Ansen,fresh,0107614,Newsweek,I've rarely laughed so much at a movie I generally disliked.,2008-04-07,10997,Mrs. Doubtfire
Derek Adams,fresh,0107614,Time Out,"Sit-com stuff, then, with laboured farcical interludes, and a mushy post-feminist sensibility. Funny notwithstanding.",2006-02-09,10997,Mrs. Doubtfire
Janet Maslin,fresh,0107614,New York Times,"The dress, the mask and Mrs. Doubtfire's gentility are inherently limiting, but nothing holds Mr. Williams back when he's on a roll.",2003-05-20,10997,Mrs. Doubtfire
James Berardinelli,fresh,0107614,ReelViews,"In terms of plot, the film is rather feeble, but sometimes there's more to a movie than story, and this is one of those rare occasions when all the other elements pull together and lift the production.",2000-01-01,10997,Mrs. Doubtfire
Desson Thomson,fresh,0107614,Washington Post,"Williams has to break out of a second-rate \""Tootsie\"" imitation, ankles clamped in pathos and face covered in latex. He pulls it off in the end, but it's not pretty.",2000-01-01,10997,Mrs. Doubtfire
Rita Kempley,fresh,0107614,Washington Post,"You will laugh till your ribs ache -- not because director Chris Columbus of the \""Home Alone\"" movies has a gift for farce, which he does, but because Williams is to funny what the Energizer Bunny is to batteries. He keeps going and going and going.",2000-01-01,10997,Mrs. Doubtfire
Roger Ebert,rotten,0107614,Chicago Sun-Times,"The film is not as amusing as the premise, and there were long stretches when I'd had quite enough of Mrs. Doubtfire.",2000-01-01,10997,Mrs. Doubtfire
Owen Gleiberman,rotten,0107756,Entertainment Weekly,,2011-09-07,10947,Orlando
Keith Uhlich,fresh,0107756,Time Out New York,"Swinton's androgynous affect has rarely been better exploited: It's a kick to see her transition among Orlando's numerous identities, whether wooing a Russian princess or submitting to the charms of the horseback-riding Shelmerdine.",2010-07-21,10947,Orlando
David Stratton,none,0107756,Variety,,2009-03-26,10947,Orlando
,none,0107756,Time Out,,2006-01-26,10947,Orlando
Vincent Canby,none,0107756,New York Times,,2003-05-20,10947,Orlando
Rita Kempley,none,0107756,Washington Post,,2000-01-01,10947,Orlando
Joe Brown,none,0107756,Washington Post,,2000-01-01,10947,Orlando
Roger Ebert,fresh,0107756,Chicago Sun-Times,This is the kind of movie you want to talk about afterward.,2000-01-01,10947,Orlando
,rotten,0107756,Entertainment Weekly,,1992-09-16,10947,Orlando
Owen Gleiberman,rotten,0107808,Entertainment Weekly,,2011-09-07,11109,A Perfect World
Todd McCarthy,none,0107808,Variety,,2009-03-26,11109,A Perfect World
David Ansen,none,0107808,Newsweek,,2008-04-07,11109,A Perfect World
Derek Adams,none,0107808,Time Out,,2006-02-09,11109,A Perfect World
Janet Maslin,none,0107808,New York Times,,2004-08-30,11109,A Perfect World
Peter Travers,fresh,0107808,Rolling Stone,"In going beyond chase-yarn duty, Eastwood and Costner do themselves proud.",2001-06-06,11109,A Perfect World
James Berardinelli,fresh,0107808,ReelViews,"A Perfect World is evidence that Hollywood is still capable of producing the kinds of moving, intelligent movies that have increasingly become the province of independent film makers.",2000-01-01,11109,A Perfect World
Roger Ebert,fresh,0107808,Chicago Sun-Times,This is a movie that surprises you.,2000-01-01,11109,A Perfect World
Desson Thomson,fresh,0107808,Washington Post,"Within its narrow, unambitious, commercial boundaries, the movie is highly watchable.",2000-01-01,11109,A Perfect World
Hal Hinson,none,0107808,Washington Post,,2000-01-01,11109,A Perfect World
,rotten,0107808,Entertainment Weekly,,1993-11-24,11109,A Perfect World
Jonathan Rosenbaum,rotten,0107943,Chicago Reader,"The actors keep this interesting, but as a story it drifts and rambles.",2008-02-11,10429,The Remains of the Day
Todd McCarthy,fresh,0107943,Variety,"All the meticulousness, intelligence, taste and superior acting that one expects from Merchant Ivory productions have been brought to bear.",2008-02-11,10429,The Remains of the Day
,fresh,0107943,Time Out,"Who else but Merchant Ivory to give the big-screen treatment to Ishiguro's Booker Prize-winning novel about class, fascism and the stiff upper lip?",2006-02-09,10429,The Remains of the Day
Vincent Canby,fresh,0107943,New York Times,"Here's a film for adults. It's also about time to recognize that Mr. Ivory is one of our finest directors, something that critics tend to overlook because most of his films have been literary adaptations.",2003-05-20,10429,The Remains of the Day
Peter Travers,fresh,0107943,Rolling Stone,What do you call filmmakers who make literary entertainment box office in the age of Beavis and Butt-bead? Try miracle workers.,2001-05-12,10429,The Remains of the Day
Desson Thomson,fresh,0107943,Washington Post,"Put Anthony Hopkins, Emma Thompson and James Fox together and you can expect sterling performances.",2000-01-01,10429,The Remains of the Day
Roger Ebert,fresh,0107943,Chicago Sun-Times,"A subtle, thoughtful movie.",2000-01-01,10429,The Remains of the Day
Rita Kempley,fresh,0107943,Washington Post,There is not a false note in the movie.,2000-01-01,10429,The Remains of the Day
James Berardinelli,fresh,0107943,ReelViews,"Tragic love stories often hit with the hardest impact, and few are better-crafted and more intelligently presented than that of Mr. Stevens and Miss Kenton.",2000-01-01,10429,The Remains of the Day
Geoff Andrew,none,0110971,Time Out,,2006-06-24,10899,Renaissance Man
Janet Maslin,none,0110971,New York Times,,2004-08-30,10899,Renaissance Man
,none,0110971,Globe and Mail,,2002-04-12,10899,Renaissance Man
Hal Hinson,none,0110971,Washington Post,,2000-01-01,10899,Renaissance Man
Desson Thomson,none,0110971,Washington Post,,2000-01-01,10899,Renaissance Man
Roger Ebert,rotten,0110971,Chicago Sun-Times,,2000-01-01,10899,Renaissance Man
Peter Stack,none,0110971,San Francisco Chronicle,,2000-01-01,10899,Renaissance Man
James Berardinelli,rotten,0110971,ReelViews,,2000-01-01,10899,Renaissance Man
,rotten,0110971,Entertainment Weekly,,1994-06-03,10899,Renaissance Man
,none,0108000,Variety,,2009-03-26,770683869,Ruby in Paradise
Geoff Andrew,none,0108000,Time Out,,2006-02-09,770683869,Ruby in Paradise
Janet Maslin,none,0108000,New York Times,,2003-05-20,770683869,Ruby in Paradise
James Berardinelli,fresh,0108000,ReelViews,,2000-01-01,770683869,Ruby in Paradise
Roger Ebert,fresh,0108000,Chicago Sun-Times,,2000-01-01,770683869,Ruby in Paradise
Rita Kempley,none,0108000,Washington Post,,2000-01-01,770683869,Ruby in Paradise
Leonard Klady,none,0108002,Variety,,2009-03-26,10143,Rudy
J. R. Jones,fresh,0108002,Chicago Reader,[A] well-crafted piece of middle-American uplift.,2007-03-26,10143,Rudy
Geoff Andrew,rotten,0108002,Time Out,"Directed with composure, but no great fervour, the film's conspicuously uninterested in American football, and much concerned with testing the limits and the resilience of the American dream.",2006-06-24,10143,Rudy
Stephen Holden,fresh,0108002,New York Times,"For all its patness, the movie also has a gritty realism that is not found in many higher-priced versions of the same thing, and its happy ending is not the typical Hollywood leap into fantasy.",2003-05-20,10143,Rudy
Peter Travers,fresh,0108002,Rolling Stone,"It's Ruettiger's persistence that his teammates and the film celebrate. For that, Rudy earns a rousing cheer.",2001-05-12,10143,Rudy
Roger Ebert,fresh,0108002,Chicago Sun-Times,"Astin's performance is so self-effacing, so focused and low-key, that we lose sight of the underdog formula and begin to focus on this dogged kid who won't quit. And the last big scene is an emotional powerhouse, just the way it's supposed to be.",2000-01-01,10143,Rudy
Norman Chad,rotten,0108002,Washington Post,"The film is so uplifting, I felt like calling up Lou Holtz for brunch.",2000-01-01,10143,Rudy
Richard Harrington,fresh,0108002,Washington Post,Indiana has been very good to director David Anspaugh and writer Angelo Pizzo.,2000-01-01,10143,Rudy
James Berardinelli,rotten,0108002,ReelViews,"The cheers in the audience at the end were genuine, which is testimony to the likability (although not necessarily the quality) of the film.",2000-01-01,10143,Rudy
Desson Thomson,fresh,0108002,Washington Post,"Astin gives these familiar doings the charm they need, as he pushes towards a virtually impossible goal.",2000-01-01,10143,Rudy
Owen Gleiberman,rotten,0111127,Entertainment Weekly,,2011-09-07,13696,Serial Mom
Todd McCarthy,rotten,0111127,Variety,Rather mild and scattershot in its satiric marksmanship...,2008-05-08,13696,Serial Mom
Derek Adams,fresh,0111127,Time Out,"An uproariously funny, marvellously malicious performance from Turner.",2006-06-24,13696,Serial Mom
Caryn James,none,0111127,New York Times,,2003-05-20,13696,Serial Mom
Rick Groen,rotten,0111127,Globe and Mail,The murders are multiple but the joke is strictly one-note.,2002-04-12,13696,Serial Mom
Peter Travers,fresh,0111127,Rolling Stone,A killingly funny spoof of crime and nonpunishment.,2001-05-12,13696,Serial Mom
Rita Kempley,rotten,0111127,Washington Post,Too realistically gory to really be funny.,2000-01-01,13696,Serial Mom
Joe Brown,rotten,0111127,Washington Post,Offensively tame and almost (gasp) tasteful.,2000-01-01,13696,Serial Mom
Roger Ebert,rotten,0111127,Chicago Sun-Times,"I am not sure why this isn't very funny, but it's not.",2000-01-01,13696,Serial Mom
James Berardinelli,rotten,0111127,ReelViews,"While the idea sounds fertile, the execution is uneven, and the comedy sporadic at best.",2000-01-01,13696,Serial Mom
,rotten,0111127,Entertainment Weekly,,1994-04-13,13696,Serial Mom
Hank Sartin,fresh,0080979,Time Out,,2011-11-18,10631,Kagemusha
Keith Uhlich,fresh,0080979,Time Out,,2011-11-17,10631,Kagemusha
Keith Uhlich,fresh,0080979,Time Out New York,"At worst, the film is an empty vessel that places blind trust in affected stillness and symmetry... the movie quite often switches on a dime to more deep and meaningful textures.",2009-07-15,10631,Kagemusha
,none,0080979,Variety,,2008-07-22,10631,Kagemusha
Geoff Andrew,none,0080979,Time Out,,2006-06-24,10631,Kagemusha
Roger Ebert,fresh,0080979,Chicago Sun-Times,There are great images in this film.,2004-10-23,10631,Kagemusha
Vincent Canby,rotten,0080979,New York Times,"There is beauty in Kagemusha but it is impersonal, distant and ghostly. The old master has never been more rigorous.",2003-05-20,10631,Kagemusha
Michael Sragow,rotten,0108162,New Yorker,"Sharon Stone goes cold in this botched thiller-maybe from the effort of pretending that her character, a beauteous book editor, would fall for the preening young computer wizard played by the vacant-and-proud-of-it William Baldwin.",2013-06-12,16897,Sliver
Owen Gleiberman,rotten,0108162,Entertainment Weekly,,2011-09-07,16897,Sliver
Brian Lowry,none,0108162,Variety,,2009-03-26,16897,Sliver
Derek Adams,none,0108162,Time Out,,2006-06-24,16897,Sliver
Janet Maslin,none,0108162,New York Times,,2003-05-20,16897,Sliver
Rita Kempley,none,0108162,Washington Post,,2000-01-01,16897,Sliver
James Berardinelli,rotten,0108162,ReelViews,,2000-01-01,16897,Sliver
,rotten,0108162,Entertainment Weekly,,1993-05-21,16897,Sliver
Owen Gleiberman,fresh,0083658,Entertainment Weekly,This is perhaps the only science-fiction film that can be called transcendental.,2011-09-07,12886,Blade Runner
Richard Corliss,fresh,0083658,TIME Magazine,"As a display terminal for the wizardry of Designers Lawrence G. Paull, Douglas Trumbull and Syd Mead, the movie delivers.",2008-08-22,12886,Blade Runner
Peter Hartlaub,fresh,0083658,San Francisco Chronicle,"This definitive print should be the last little push that \""Blade Runner\"" needs to complete its 25-year journey from box office failure to cult favorite to full-blown classic.",2007-11-30,12886,Blade Runner
Colin Covert,fresh,0083658,Minneapolis Star Tribune,The film still represents the cutting edge of dark science fiction.,2007-11-29,12886,Blade Runner
Terry Lawson,fresh,0083658,Detroit Free Press,Blade Runner: The Final Cut plays better now than ever.,2007-11-16,12886,Blade Runner
Ty Burr,fresh,0083658,Boston Globe,Open the champagne: Blade Runner is finally just the way Ridley Scott wanted it. And it only took 25 years.,2007-11-16,12886,Blade Runner
Peter Howell,fresh,0083658,Toronto Star,There are no plot-altering additions or subtractions. But the digitally spruced print is gorgeous to look at and listen to.,2007-11-09,12886,Blade Runner
Jonathan Rosenbaum,fresh,0083658,Chicago Reader,Much of the film's erotic charge and moral and ideological ambiguity stem from the fact that these characters are very nearly the only ones we care about.,2007-11-09,12886,Blade Runner
Roger Ebert,fresh,0083658,Chicago Sun-Times,"This is a seminal film, building on older classics like Metropolis or Things to Come, but establishing a pervasive view of the future that has influenced science fiction films ever since.",2007-11-09,12886,Blade Runner
Michael Phillips,fresh,0083658,Chicago Tribune,Ridley Scott created a triumph of retro-futuristic design over narrative or character richness.,2007-11-01,12886,Blade Runner
Jack Mathews,fresh,0083658,New York Daily News,"The opportunity to see one of the milestone visual achievements in a big hall with a giant screen is not to be missed. And even if you saw Blade Runner in a theater in 1982, this will be an entirely new experience.",2007-10-05,12886,Blade Runner
Scott Foundas,fresh,0083658,L.A. Weekly,"Mainly, the re-release is a good excuse to indulge once more in Scott's iconic and highly influential vision of a future Los Angeles choked by rain, neon and cheap pleasure palaces.",2007-10-04,12886,Blade Runner
James Berardinelli,fresh,0083658,ReelViews,"These days, it's almost impossible to find a gritty science fiction motion picture that doesn't owe at least a small debt to Blade Runner's visual style.",2007-05-29,12886,Blade Runner
,fresh,0083658,Variety,A stylistically dazzling film noir set in November 2019 in a brilliantly imagined Los Angeles marked by both technological wonders and horrendous squalor.,2007-05-29,12886,Blade Runner
,rotten,0083658,Time Out,"The android villains are neither menacing nor sympathetic, when ideally they should have been both. This leaves Scott's picturesque violence looking dull and exploitative.",2006-06-24,12886,Blade Runner
Janet Maslin,fresh,0083658,New York Times,As intricately detailed as anything a science-fiction film has yet envisioned.,2004-08-30,12886,Blade Runner
Rita Kempley,fresh,0083658,Washington Post,"It is, in fact, an amazingly sophisticated, sumptuously visionary treatise on the consequences of attaining god-hood.",2001-11-16,12886,Blade Runner
Desson Thomson,fresh,0083658,Washington Post,"The film is great on every level: the poignant screenplay about man's futile quest for immortality; Scott's tremendous direction; the incredible, futuristic sets designed by Lawrence G. Paull, Syd Mead and others; the phenomenal special effects.",2001-11-16,12886,Blade Runner
Lisa Schwarzbaum,fresh,0108328,Entertainment Weekly,,2011-09-07,18708,Thirty Two Short Films About Glenn Gould
Leonard Klady,none,0108328,Variety,,2009-03-26,18708,Thirty Two Short Films About Glenn Gould
Geoff Andrew,none,0108328,Time Out,,2006-02-09,18708,Thirty Two Short Films About Glenn Gould
Janet Maslin,none,0108328,New York Times,,2003-05-20,18708,Thirty Two Short Films About Glenn Gould
